feature_set,model,fold,train_start,train_end,test_start,test_end,n_train,n_test,accuracy,precision,recall,f1,auc,mcc
technical_plus_vader,logistic_regression,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.41975308641975306,0.3202614379084967,0.5697674418604651,0.4100418410041841,0.43710191082802546,-0.09174687650259984
technical_plus_vader,random_forest,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5039525691699605,0.4307116104868914,0.5373831775700935,0.4781704781704782,0.47958007937524005,0.016659533888544808
technical_plus_vader,random_forest,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5108910891089109,0.5089820359281437,0.34,0.407673860911271,0.5029490196078432,0.0195875981809843
technical_plus_vader,random_forest,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.47413793103448276,0.5,0.28688524590163933,0.3645833333333333,0.4682935916542474,-0.03404603217224131
technical_plus_vader,random_forest,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.4692982456140351,0.5167464114832536,0.43373493975903615,0.47161572052401746,0.4589954018974448,-0.05414576197091997
technical_plus_vader,random_forest,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.5761316872427984,0.43795620437956206,0.6976744186046512,0.5381165919282511,0.6324248259517108,0.19981838388868917
technical_plus_vader,xgboost,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5375494071146245,0.45098039215686275,0.42990654205607476,0.44019138755980863,0.4846530533862502,0.046674716627849826
technical_plus_vader,xgboost,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5405940594059406,0.5489130434782609,0.404,0.46543778801843316,0.5396705882352941,0.08156475942139835
technical_plus_vader,xgboost,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.4418103448275862,0.4701195219123506,0.48360655737704916,0.4767676767676768,0.4406296572280179,-0.12118408696819516
technical_plus_vader,xgboost,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.44956140350877194,0.49624060150375937,0.5301204819277109,0.512621359223301,0.3988320431484391,-0.11837997825715264
technical_plus_vader,xgboost,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.6584362139917695,0.5131578947368421,0.6802325581395349,0.585,0.6816027255221447,0.3130689170166078
technical_plus_vader,svc_rbf,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.47035573122529645,0.40625,0.5467289719626168,0.46613545816733065,0.47769171680962735,-0.0387956891163995
technical_plus_vader,svc_rbf,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5346534653465347,0.5280898876404494,0.564,0.5454545454545454,0.5602509803921569,0.0699944337717224
technical_plus_vader,svc_rbf,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.45905172413793105,0.48205128205128206,0.38524590163934425,0.428246013667426,0.4701471684053652,-0.0747022953711241
technical_plus_vader,svc_rbf,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.49122807017543857,0.547486033519553,0.39357429718875503,0.45794392523364486,0.5082649438333042,0.002314379721827565
technical_plus_vader,svc_rbf,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.4609053497942387,0.3519736842105263,0.622093023255814,0.4495798319327731,0.5193119537846245,-0.005231961021979222
technical_plus_textblob,naive_most_frequent,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5770750988142292,0.0,0.0,0.0,0.5,0.0
technical_plus_textblob,naive_most_frequent,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.504950495049505,0.0,0.0,0.0,0.5,0.0
